species_name	display_name	ah_id	ah_species	description	gprofiler_id	gprofiler_species	rdataclass	rdatadateadded	sourcetype	taxonomyid	title
Coecilia bivitatum	Coecilia bivitatum	AH115176	Coecilia bivitatum	NCBI gene ID based annotations about Coecilia bivitatum	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	194408	org.Coecilia_bivitatum.eg.sqlite
Coelomys parahi	Coelomys parahi	AH115033	Coelomys parahi	NCBI gene ID based annotations about Coelomys parahi	mpahari	Mus pahari	OrgDb	2023-10-20	NCBI/UniProt	10093	org.Coelomys_parahi.eg.sqlite
Coetomys damarensis	Coetomys damarensis	AH114714	Coetomys damarensis	NCBI gene ID based annotations about Coetomys damarensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	885580	org.Coetomys_damarensis.eg.sqlite
Coffea arabica	Coffea arabica	AH111588	Coffea arabica	Genomic annotation for Coffea arabica retrieved from NCBI and forged with Annotationforge as sqlite file.	NA	NA	TxDb	2023-06-20	NCBI/ensembl	13443	OrgDb Sqlite file for Coffea arabica
Coffea eugeniodes	Coffea eugeniodes	AH114576	Coffea eugeniodes	NCBI gene ID based annotations about Coffea eugeniodes	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	49369	org.Coffea_eugeniodes.eg.sqlite
Colias crocea	Colias crocea	AH115980	Colias crocea	NCBI gene ID based annotations about Colias crocea	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	72248	org.Colias_crocea.eg.sqlite
Colius striatus	Colius striatus	AH116074	Colius striatus	NCBI gene ID based annotations about Colius striatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	57412	org.Colius_striatus.eg.sqlite
Colletotrichum aenigma	Colletotrichum aenigma	AH116076	Colletotrichum aenigma	NCBI gene ID based annotations about Colletotrichum aenigma	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1215731	org.Colletotrichum_aenigma.eg.sqlite
Colletotrichum capsici	Colletotrichum capsici	AH115959	Colletotrichum capsici	NCBI gene ID based annotations about Colletotrichum capsici	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	5467	org.Colletotrichum_capsici.eg.sqlite
Colletotrichum communis	Colletotrichum communis	AH116077	Colletotrichum communis	NCBI gene ID based annotations about Colletotrichum communis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	690259	org.Colletotrichum_communis.eg.sqlite
Colletotrichum fructicola	Colletotrichum fructicola	AH115771	Colletotrichum fructicola	NCBI gene ID based annotations about Colletotrichum fructicola	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	690256	org.Colletotrichum_fructicola.eg.sqlite
Colletotrichum gloeosporioides_(Penz.)_Penz._&_Sacc.,_1884	Colletotrichum gloeosporioides_(Penz.)_Penz._&_Sacc.,_1884	AH115995	Colletotrichum gloeosporioides_(Penz.)_Penz._&_Sacc.,_1884	NCBI gene ID based annotations about Colletotrichum gloeosporioides_(Penz.)_Penz._&_Sacc.,_1884	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	474922	org.Colletotrichum_gloeosporioides_(Penz.)_Penz._&_Sacc.,_1884.eg.sqlite
Colletotrichum lupini	Colletotrichum lupini	AH115715	Colletotrichum lupini	NCBI gene ID based annotations about Colletotrichum lupini	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	145971	org.Colletotrichum_lupini.eg.sqlite
Colobus angolensis_palliatus	Colobus angolensis_palliatus	AH115216	Colobus angolensis_palliatus	NCBI gene ID based annotations about Colobus angolensis_palliatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	336983	org.Colobus_angolensis_palliatus.eg.sqlite
Colobus tephrosceles	Colobus tephrosceles	AH114579	Colobus tephrosceles	NCBI gene ID based annotations about Colobus tephrosceles	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	591936	org.Colobus_tephrosceles.eg.sqlite
Colossoma macropomum	Colossoma macropomum	AH114886	Colossoma macropomum	NCBI gene ID based annotations about Colossoma macropomum	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	42526	org.Colossoma_macropomum.eg.sqlite
Coluber guttatus	Coluber guttatus	AH115400	Coluber guttatus	NCBI gene ID based annotations about Coluber guttatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	94885	org.Coluber_guttatus.eg.sqlite
Coluber sirtalis	Coluber sirtalis	AH115649	Coluber sirtalis	NCBI gene ID based annotations about Coluber sirtalis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	35019	org.Coluber_sirtalis.eg.sqlite
Columba livia_domestica	Columba livia_domestica	AH115307	Columba livia_domestica	NCBI gene ID based annotations about Columba livia_domestica	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8932	org.Columba_livia_domestica.eg.sqlite
Colymbus stellatus	Colymbus stellatus	AH116113	Colymbus stellatus	NCBI gene ID based annotations about Colymbus stellatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	37040	org.Colymbus_stellatus.eg.sqlite
Condylura cristata	Condylura cristata	AH115664	Condylura cristata	NCBI gene ID based annotations about Condylura cristata	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	143302	org.Condylura_cristata.eg.sqlite
Coniothyrium fuckelii_var._sporulosum	Coniothyrium fuckelii_var._sporulosum	AH116140	Coniothyrium fuckelii_var._sporulosum	NCBI gene ID based annotations about Coniothyrium fuckelii_var._sporulosum	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1460663	org.Coniothyrium_fuckelii_var._sporulosum.eg.sqlite
Contarinia nasturtii	Contarinia nasturtii	AH115939	Contarinia nasturtii	NCBI gene ID based annotations about Contarinia nasturtii	cngca009176525v2rs	Contarinia nasturtii	OrgDb	2023-10-20	NCBI/UniProt	265458	org.Contarinia_nasturtii.eg.sqlite
Convolvulus nil	Convolvulus nil	AH114315	Convolvulus nil	NCBI gene ID based annotations about Convolvulus nil	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	35883	org.Convolvulus_nil.eg.sqlite
Conyza canadensis	Conyza canadensis	AH114694	Conyza canadensis	NCBI gene ID based annotations about Conyza canadensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	72917	org.Conyza_canadensis.eg.sqlite
Corapipo altera	Corapipo altera	AH115635	Corapipo altera	NCBI gene ID based annotations about Corapipo altera	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	415028	org.Corapipo_altera.eg.sqlite
Cordylus capensis	Cordylus capensis	AH114888	Cordylus capensis	NCBI gene ID based annotations about Cordylus capensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	884348	org.Cordylus_capensis.eg.sqlite
Coregonus clupeaformis	Coregonus clupeaformis	AH114265	Coregonus clupeaformis	NCBI gene ID based annotations about Coregonus clupeaformis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	59861	org.Coregonus_clupeaformis.eg.sqlite
Corvus brachyrhynchos	Corvus brachyrhynchos	AH115694	Corvus brachyrhynchos	NCBI gene ID based annotations about Corvus brachyrhynchos	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	85066	org.Corvus_brachyrhynchos.eg.sqlite
Corvus cornix_cornix	Corvus cornix_cornix	AH115784	Corvus cornix_cornix	NCBI gene ID based annotations about Corvus cornix_cornix	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	932674	org.Corvus_cornix_cornix.eg.sqlite
Corvus hawaiiensis	Corvus hawaiiensis	AH115593	Corvus hawaiiensis	NCBI gene ID based annotations about Corvus hawaiiensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	134902	org.Corvus_hawaiiensis.eg.sqlite
Corvus kubaryi	Corvus kubaryi	AH115672	Corvus kubaryi	NCBI gene ID based annotations about Corvus kubaryi	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	68294	org.Corvus_kubaryi.eg.sqlite
Corvus moneduloides	Corvus moneduloides	AH115626	Corvus moneduloides	NCBI gene ID based annotations about Corvus moneduloides	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1196302	org.Corvus_moneduloides.eg.sqlite
Corylus avellana	Corylus avellana	AH114904	Corylus avellana	NCBI gene ID based annotations about Corylus avellana	cavellana	Corylus avellana	OrgDb	2023-10-20	NCBI/UniProt	13451	org.Corylus_avellana.eg.sqlite
Corythoichthys intestinalis	Corythoichthys intestinalis	AH115195	Corythoichthys intestinalis	NCBI gene ID based annotations about Corythoichthys intestinalis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	161448	org.Corythoichthys_intestinalis.eg.sqlite
Coturnix coturnix_japanica	Coturnix coturnix_japanica	AH115613	Coturnix coturnix_japanica	NCBI gene ID based annotations about Coturnix coturnix_japanica	cjaponica	Coturnix japonica	OrgDb	2023-10-20	NCBI/UniProt	93934	org.Coturnix_coturnix_japanica.eg.sqlite
Crassostrea angulata	Crassostrea angulata	AH114475	Crassostrea angulata	NCBI gene ID based annotations about Crassostrea angulata	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	558553	org.Crassostrea_angulata.eg.sqlite
Crassostrea gigas	Crassostrea gigas	AH114473	Crassostrea gigas	NCBI gene ID based annotations about Crassostrea gigas	cgigas	Magallana gigas	OrgDb	2023-10-20	NCBI/UniProt	29159	org.Crassostrea_gigas.eg.sqlite
Crassostrea virginica	Crassostrea virginica	AH114442	Crassostrea virginica	NCBI gene ID based annotations about Crassostrea virginica	cvgca002022765v4	Crassostrea virginica	OrgDb	2023-10-20	NCBI/UniProt	6565	org.Crassostrea_virginica.eg.sqlite
Cricetulus barabensis_griseus	Cricetulus barabensis_griseus	AH114609	Cricetulus barabensis_griseus	NCBI gene ID based annotations about Cricetulus barabensis_griseus	cgchok1gshd	Cricetulus griseus	OrgDb	2023-10-20	NCBI/UniProt	10029	org.Cricetulus_barabensis_griseus.eg.sqlite
Cricetus auratus	Cricetus auratus	AH114534	Cricetus auratus	NCBI gene ID based annotations about Cricetus auratus	mauratus	Mesocricetus auratus	OrgDb	2023-10-20	NCBI/UniProt	10036	org.Cricetus_auratus.eg.sqlite
Crocodylus porosus	Crocodylus porosus	AH115684	Crocodylus porosus	NCBI gene ID based annotations about Crocodylus porosus	cporosus	Crocodylus porosus	OrgDb	2023-10-20	NCBI/UniProt	8502	org.Crocodylus_porosus.eg.sqlite
Crotalus tigris	Crotalus tigris	AH115507	Crotalus tigris	NCBI gene ID based annotations about Crotalus tigris	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	88082	org.Crotalus_tigris.eg.sqlite
Cryptomeria japonica	Cryptomeria japonica	AH114264	Cryptomeria japonica	NCBI gene ID based annotations about Cryptomeria japonica	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	3369	org.Cryptomeria_japonica.eg.sqlite
Cryptotermes secundus	Cryptotermes secundus	AH116039	Cryptotermes secundus	NCBI gene ID based annotations about Cryptotermes secundus	csgca002891405v2rs	Cryptotermes secundus	OrgDb	2023-10-20	NCBI/UniProt	105785	org.Cryptotermes_secundus.eg.sqlite
Crypturus perdicarius	Crypturus perdicarius	AH115763	Crypturus perdicarius	NCBI gene ID based annotations about Crypturus perdicarius	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	30464	org.Crypturus_perdicarius.eg.sqlite
Ctenocephalides felis	Ctenocephalides felis	AH115140	Ctenocephalides felis	NCBI gene ID based annotations about Ctenocephalides felis	cfgca003426905v1rs	Ctenocephalides felis	OrgDb	2023-10-20	NCBI/UniProt	7515	org.Ctenocephalides_felis.eg.sqlite
Ctenopharyngodon idella	Ctenopharyngodon idella	AH114823	Ctenopharyngodon idella	NCBI gene ID based annotations about Ctenopharyngodon idella	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	7959	org.Ctenopharyngodon_idella.eg.sqlite
Cuculus canorus	Cuculus canorus	AH115666	Cuculus canorus	NCBI gene ID based annotations about Cuculus canorus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	55661	org.Cuculus_canorus.eg.sqlite
Cuculus discolor	Cuculus discolor	AH116019	Cuculus discolor	NCBI gene ID based annotations about Cuculus discolor	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	188344	org.Cuculus_discolor.eg.sqlite
Cuculus indicator	Cuculus indicator	AH116102	Cuculus indicator	NCBI gene ID based annotations about Cuculus indicator	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1002788	org.Cuculus_indicator.eg.sqlite
Cucumis melo	Cucumis melo	AH115128	Cucumis melo	NCBI gene ID based annotations about Cucumis melo	cmelo	Cucumis melo	OrgDb	2023-10-20	NCBI/UniProt	3656	org.Cucumis_melo.eg.sqlite
Cucumis sativus	Cucumis sativus	AH115488	Cucumis sativus	NCBI gene ID based annotations about Cucumis sativus	csativus	Cucumis sativus	OrgDb	2023-10-20	NCBI/UniProt	3659	org.Cucumis_sativus.eg.sqlite
Cucurbita maxima	Cucurbita maxima	AH114578	Cucurbita maxima	NCBI gene ID based annotations about Cucurbita maxima	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	3661	org.Cucurbita_maxima.eg.sqlite
Cucurbita moschata	Cucurbita moschata	AH114575	Cucurbita moschata	NCBI gene ID based annotations about Cucurbita moschata	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	3662	org.Cucurbita_moschata.eg.sqlite
Cucurbita pepo_subsp._pepo	Cucurbita pepo_subsp._pepo	AH114560	Cucurbita pepo_subsp._pepo	NCBI gene ID based annotations about Cucurbita pepo_subsp._pepo	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	3664	org.Cucurbita_pepo_subsp._pepo.eg.sqlite
Culex (Culex)_pipiens_pallens	Culex (Culex)_pipiens_pallens	AH115677	Culex (Culex)_pipiens_pallens	NCBI gene ID based annotations about Culex (Culex)_pipiens_pallens	cpgca016801865v2rs	Culex pipiens pallens	OrgDb	2023-10-20	NCBI/UniProt	42434	org.Culex_(Culex)_pipiens_pallens.eg.sqlite
Culex fatigans	Culex fatigans	AH115748	Culex fatigans	NCBI gene ID based annotations about Culex fatigans	cqgca015732765v1vb	Culex quinquefasciatus	OrgDb	2023-10-20	NCBI/UniProt	7176	org.Culex_fatigans.eg.sqlite
Cyanistes caeruleus	Cyanistes caeruleus	AH115472	Cyanistes caeruleus	NCBI gene ID based annotations about Cyanistes caeruleus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	156563	org.Cyanistes_caeruleus.eg.sqlite
Cyclopterus lumpus	Cyclopterus lumpus	AH115320	Cyclopterus lumpus	NCBI gene ID based annotations about Cyclopterus lumpus	clumpus	Cyclopterus lumpus	OrgDb	2023-10-20	NCBI/UniProt	8103	org.Cyclopterus_lumpus.eg.sqlite
Cynocephalus variegatus	Cynocephalus variegatus	AH114992	Cynocephalus variegatus	NCBI gene ID based annotations about Cynocephalus variegatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	482537	org.Cynocephalus_variegatus.eg.sqlite
Cynoglossus (Arelia)_semilaevis	Cynoglossus (Arelia)_semilaevis	AH115388	Cynoglossus (Arelia)_semilaevis	NCBI gene ID based annotations about Cynoglossus (Arelia)_semilaevis	csemilaevis	Cynoglossus semilaevis	OrgDb	2023-10-20	NCBI/UniProt	244447	org.Cynoglossus_(Arelia)_semilaevis.eg.sqlite
Cynolebias whitei	Cynolebias whitei	AH115515	Cynolebias whitei	NCBI gene ID based annotations about Cynolebias whitei	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	451745	org.Cynolebias_whitei.eg.sqlite
Cynthia cardui	Cynthia cardui	AH116115	Cynthia cardui	NCBI gene ID based annotations about Cynthia cardui	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	171605	org.Cynthia_cardui.eg.sqlite
Cyprinodon tularosa	Cyprinodon tularosa	AH115167	Cyprinodon tularosa	NCBI gene ID based annotations about Cyprinodon tularosa	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	77115	org.Cyprinodon_tularosa.eg.sqlite
Cyprinodon variegatus	Cyprinodon variegatus	AH115459	Cyprinodon variegatus	NCBI gene ID based annotations about Cyprinodon variegatus	cvariegatus	Cyprinodon variegatus	OrgDb	2023-10-20	NCBI/UniProt	28743	org.Cyprinodon_variegatus.eg.sqlite
Cyprinus carpio	Cyprinus carpio	AH114269	Cyprinus carpio	NCBI gene ID based annotations about Cyprinus carpio	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	7962	org.Cyprinus_carpio.eg.sqlite
Cyprinus rohita	Cyprinus rohita	AH114827	Cyprinus rohita	NCBI gene ID based annotations about Cyprinus rohita	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	84645	org.Cyprinus_rohita.eg.sqlite
Cyrtodactylus macularius	Cyrtodactylus macularius	AH115489	Cyrtodactylus macularius	NCBI gene ID based annotations about Cyrtodactylus macularius	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	481883	org.Cyrtodactylus_macularius.eg.sqlite
Cyrtodiopsis dalmanii	Cyrtodiopsis dalmanii	AH115147	Cyrtodiopsis dalmanii	NCBI gene ID based annotations about Cyrtodiopsis dalmanii	tdalmanni	Teleopsis dalmanni	OrgDb	2023-10-20	NCBI/UniProt	139649	org.Cyrtodiopsis_dalmanii.eg.sqlite
Daktulosphaira vitifoliae	Daktulosphaira vitifoliae	AH115845	Daktulosphaira vitifoliae	NCBI gene ID based annotations about Daktulosphaira vitifoliae	dvgca025091365v1rs	Daktulosphaira vitifoliae	OrgDb	2023-10-20	NCBI/UniProt	58002	org.Daktulosphaira_vitifoliae.eg.sqlite
Danio aesculapii	Danio aesculapii	AH114619	Danio aesculapii	NCBI gene ID based annotations about Danio aesculapii	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1142201	org.Danio_aesculapii.eg.sqlite
Danio rerio	Danio rerio	AH114092	Danio rerio	NCBI gene ID based annotations about Danio rerio	drerio	Danio rerio	OrgDb	2023-10-03	NCBI/ensembl	7955	org.Dr.eg.db.sqlite
Daphnia carinata	Daphnia carinata	AH115711	Daphnia carinata	NCBI gene ID based annotations about Daphnia carinata	dcgca022539665v3rs	Daphnia carinata	OrgDb	2023-10-20	NCBI/UniProt	120202	org.Daphnia_carinata.eg.sqlite
Daphnia magna	Daphnia magna	AH115161	Daphnia magna	NCBI gene ID based annotations about Daphnia magna	dmgca020631705v2	Daphnia magna	OrgDb	2023-10-20	NCBI/UniProt	35525	org.Daphnia_magna.eg.sqlite
Daphnia pulex	Daphnia pulex	AH115573	Daphnia pulex	NCBI gene ID based annotations about Daphnia pulex	dpgca021134715v1rs	Daphnia pulex	OrgDb	2023-10-20	NCBI/UniProt	6669	org.Daphnia_pulex.eg.sqlite
Daphnia pulicaria	Daphnia pulicaria	AH114388	Daphnia pulicaria	NCBI gene ID based annotations about Daphnia pulicaria	dpgca021234035v2rs	Daphnia pulicaria	OrgDb	2023-10-20	NCBI/UniProt	35523	org.Daphnia_pulicaria.eg.sqlite
Dasypus novemcinctus	Dasypus novemcinctus	AH114378	Dasypus novemcinctus	NCBI gene ID based annotations about Dasypus novemcinctus	dnovemcinctus	Dasypus novemcinctus	OrgDb	2023-10-20	NCBI/UniProt	9361	org.Dasypus_novemcinctus.eg.sqlite
Daucus carota_subsp._sativus	Daucus carota_subsp._sativus	AH114541	Daucus carota_subsp._sativus	NCBI gene ID based annotations about Daucus carota_subsp._sativus	dcarota	Daucus carota subsp. sativus	OrgDb	2023-10-20	NCBI/UniProt	79200	org.Daucus_carota_subsp._sativus.eg.sqlite
Delphinapterus leucas	Delphinapterus leucas	AH115224	Delphinapterus leucas	NCBI gene ID based annotations about Delphinapterus leucas	dleucas	Delphinapterus leucas	OrgDb	2023-10-20	NCBI/UniProt	9749	org.Delphinapterus_leucas.eg.sqlite
Delphinus melas	Delphinus melas	AH115062	Delphinus melas	NCBI gene ID based annotations about Delphinus melas	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	9731	org.Delphinus_melas.eg.sqlite
Delphinus truncatus	Delphinus truncatus	AH115107	Delphinus truncatus	NCBI gene ID based annotations about Delphinus truncatus	ttruncatus	Tursiops truncatus	OrgDb	2023-10-20	NCBI/UniProt	9739	org.Delphinus_truncatus.eg.sqlite
Dendrobium catenatum	Dendrobium catenatum	AH115368	Dendrobium catenatum	NCBI gene ID based annotations about Dendrobium catenatum	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	906689	org.Dendrobium_catenatum.eg.sqlite
Dendroctonus ponderosae	Dendroctonus ponderosae	AH116104	Dendroctonus ponderosae	NCBI gene ID based annotations about Dendroctonus ponderosae	dpgca020466585v2rs	Dendroctonus ponderosae	OrgDb	2023-10-20	NCBI/UniProt	77166	org.Dendroctonus_ponderosae.eg.sqlite
Dendrohyas sarda	Dendrohyas sarda	AH114206	Dendrohyas sarda	NCBI gene ID based annotations about Dendrohyas sarda	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	327740	org.Dendrohyas_sarda.eg.sqlite
Dendronephthya gigantea	Dendronephthya gigantea	AH115025	Dendronephthya gigantea	NCBI gene ID based annotations about Dendronephthya gigantea	dggca004324835v1	Dendronephthya gigantea	OrgDb	2023-10-20	NCBI/UniProt	151771	org.Dendronephthya_gigantea.eg.sqlite
Denticeps clupeoides	Denticeps clupeoides	AH114432	Denticeps clupeoides	NCBI gene ID based annotations about Denticeps clupeoides	dclupeoides	Denticeps clupeoides	OrgDb	2023-10-20	NCBI/UniProt	299321	org.Denticeps_clupeoides.eg.sqlite
Depressaria gossypiella	Depressaria gossypiella	AH115911	Depressaria gossypiella	NCBI gene ID based annotations about Depressaria gossypiella	pggca024362695v1rs	Pectinophora gossypiella	OrgDb	2023-10-20	NCBI/UniProt	13191	org.Depressaria_gossypiella.eg.sqlite
Dermacentor andersoni	Dermacentor andersoni	AH114518	Dermacentor andersoni	NCBI gene ID based annotations about Dermacentor andersoni	dagca023375885v2rs	Dermacentor andersoni	OrgDb	2023-10-20	NCBI/UniProt	34620	org.Dermacentor_andersoni.eg.sqlite
Dermacentor silvarum	Dermacentor silvarum	AH114543	Dermacentor silvarum	NCBI gene ID based annotations about Dermacentor silvarum	dsgca013339745v2rs	Dermacentor silvarum	OrgDb	2023-10-20	NCBI/UniProt	543639	org.Dermacentor_silvarum.eg.sqlite
Dermochelys coriacea	Dermochelys coriacea	AH115219	Dermochelys coriacea	NCBI gene ID based annotations about Dermochelys coriacea	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	27794	org.Dermochelys_coriacea.eg.sqlite
Desmodus rotundus	Desmodus rotundus	AH115016	Desmodus rotundus	NCBI gene ID based annotations about Desmodus rotundus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	9430	org.Desmodus_rotundus.eg.sqlite
Diabrotica virgifera_virgifera	Diabrotica virgifera_virgifera	AH115440	Diabrotica virgifera_virgifera	NCBI gene ID based annotations about Diabrotica virgifera_virgifera	dvgca917563875v2rs	Diabrotica virgifera virgifera	OrgDb	2023-10-20	NCBI/UniProt	50390	org.Diabrotica_virgifera_virgifera.eg.sqlite
Diaphorina citri	Diaphorina citri	AH115297	Diaphorina citri	NCBI gene ID based annotations about Diaphorina citri	dcgca000475195v1rs	Diaphorina citri	OrgDb	2023-10-20	NCBI/UniProt	121845	org.Diaphorina_citri.eg.sqlite
Diaporthe amygdali	Diaporthe amygdali	AH116006	Diaporthe amygdali	NCBI gene ID based annotations about Diaporthe amygdali	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1214568	org.Diaporthe_amygdali.eg.sqlite
Diaporthe citri	Diaporthe citri	AH115954	Diaporthe citri	NCBI gene ID based annotations about Diaporthe citri	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	83186	org.Diaporthe_citri.eg.sqlite
Dicentrarchus labrax	Dicentrarchus labrax	AH114962	Dicentrarchus labrax	NCBI gene ID based annotations about Dicentrarchus labrax	dlabrax	Dicentrarchus labrax	OrgDb	2023-10-20	NCBI/UniProt	13489	org.Dicentrarchus_labrax.eg.sqlite
Diceros bicornis_minor	Diceros bicornis_minor	AH114953	Diceros bicornis_minor	NCBI gene ID based annotations about Diceros bicornis_minor	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	77932	org.Diceros_bicornis_minor.eg.sqlite
Didelphis ursina	Didelphis ursina	AH114812	Didelphis ursina	NCBI gene ID based annotations about Didelphis ursina	vursinus	Vombatus ursinus	OrgDb	2023-10-20	NCBI/UniProt	29139	org.Didelphis_ursina.eg.sqlite
Didelphis vulpecula	Didelphis vulpecula	AH114851	Didelphis vulpecula	NCBI gene ID based annotations about Didelphis vulpecula	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	9337	org.Didelphis_vulpecula.eg.sqlite
Didelphys agilis	Didelphys agilis	AH115325	Didelphys agilis	NCBI gene ID based annotations about Didelphys agilis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	191870	org.Didelphys_agilis.eg.sqlite
Didelphys domestica	Didelphys domestica	AH114700	Didelphys domestica	NCBI gene ID based annotations about Didelphys domestica	mdomestica	Monodelphis domestica	OrgDb	2023-10-20	NCBI/UniProt	13616	org.Didelphys_domestica.eg.sqlite
Dioscorea cayenensis_subsp._rotundata	Dioscorea cayenensis_subsp._rotundata	AH114591	Dioscorea cayenensis_subsp._rotundata	NCBI gene ID based annotations about Dioscorea cayenensis_subsp._rotundata	drotundata	Dioscorea cayenensis subsp. rotundata	OrgDb	2023-10-20	NCBI/UniProt	55577	org.Dioscorea_cayenensis_subsp._rotundata.eg.sqlite
Diospyros lotus	Diospyros lotus	AH115192	Diospyros lotus	NCBI gene ID based annotations about Diospyros lotus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	55363	org.Diospyros_lotus.eg.sqlite
Diplophysa dalaica	Diplophysa dalaica	AH114683	Diplophysa dalaica	NCBI gene ID based annotations about Diplophysa dalaica	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1582913	org.Diplophysa_dalaica.eg.sqlite
Dipodomys ordii	Dipodomys ordii	AH115523	Dipodomys ordii	NCBI gene ID based annotations about Dipodomys ordii	dordii	Dipodomys ordii	OrgDb	2023-10-20	NCBI/UniProt	10020	org.Dipodomys_ordii.eg.sqlite
Dipodomys spectabilis	Dipodomys spectabilis	AH114691	Dipodomys spectabilis	NCBI gene ID based annotations about Dipodomys spectabilis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	105255	org.Dipodomys_spectabilis.eg.sqlite
Doryrhamphus dactyliophorus	Doryrhamphus dactyliophorus	AH115246	Doryrhamphus dactyliophorus	NCBI gene ID based annotations about Doryrhamphus dactyliophorus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	161453	org.Doryrhamphus_dactyliophorus.eg.sqlite
Doryrhamphus excisus	Doryrhamphus excisus	AH114332	Doryrhamphus excisus	NCBI gene ID based annotations about Doryrhamphus excisus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	161450	org.Doryrhamphus_excisus.eg.sqlite
Dreissena polymorpha	Dreissena polymorpha	AH114300	Dreissena polymorpha	NCBI gene ID based annotations about Dreissena polymorpha	dpgca020536995v1rs	Dreissena polymorpha	OrgDb	2023-10-20	NCBI/UniProt	45954	org.Dreissena_polymorpha.eg.sqlite
Dromiciops australis	Dromiciops australis	AH114895	Dromiciops australis	NCBI gene ID based annotations about Dromiciops australis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	33562	org.Dromiciops_australis.eg.sqlite
Drosophila albomicans	Drosophila albomicans	AH116004	Drosophila albomicans	NCBI gene ID based annotations about Drosophila albomicans	dagca009650485v2rs	Drosophila albomicans	OrgDb	2023-10-20	NCBI/UniProt	7291	org.Drosophila_albomicans.eg.sqlite
Drosophila ananassae	Drosophila ananassae	AH115864	Drosophila ananassae	NCBI gene ID based annotations about Drosophila ananassae	dagca017639315v2rs	Drosophila ananassae	OrgDb	2023-10-20	NCBI/UniProt	7217	org.Drosophila_ananassae.eg.sqlite
